NormalizedName,Asset_Type,Primary_IP,OS_Type_Version,Role_Description,In_AD,In_Servers,In_Workstations,In_IP_Tracker,In_Scanner
DFWCAL03144,Workstation,,10.0.22000.2195,,False,False,True,False,False
DFWCAL03612,Workstation,,10.0.18045.5131,,False,False,True,False,False
DFWCAL03597,Workstation,,10.0.18352.720,,False,False,True,False,False
DFWCAL03241,Workstation,,,,False,False,True,False,False
DFWCAL04835,Workstation,,10.0.19045.5237,,False,False,True,False,False
,Other Networked Device,20.200.36.1,,,False,False,False,True,False
DFWRARITAN1P,Other Networked Device,20.200.36.5,,,False,False,False,True,False
HP C6000-OA1,Other Networked Device,20.200.36.10,,,False,False,False,True,False
HP C6000-OA2,Other Networked Device,20.200.36.11,,,False,False,False,True,False
HPC2000OA3RETIRED,Other Networked Device,20.200.36.12,,,False,False,False,True,False
HPC2000TESTLAB,Other Networked Device,20.200.36.14,,,False,False,False,True,False
C6000 BAY 1,Other Networked Device,20.200.36.21,,,False,False,False,True,False
C6000 BAY 2,Other Networked Device,20.200.36.22,,,False,False,False,True,False
C6000 BAY 3,Other Networked Device,20.200.36.23,,,False,False,False,True,False
C6000 BAY 4,Other Networked Device,20.200.36.24,,,False,False,False,True,False
LPSRCJ8OAS1T,Other Networked Device,20.3.120.44,Red Hat Enterprise Linux 8,,False,False,False,False,True
FG2SLPS86FIN12P,Other Networked Device,"20.3.114.121,12.31.11.74",Red Hat Enterprise Linux 8,,False,False,False,False,True
VJ2SLPS86PS2P,Other Networked Device,"20.3.114.189,12.31.11.82",Red Hat Enterprise Linux 8,,False,False,False,False,True
GCDFWWCRL1P,Other Networked Device,20.300.40.129,Microsoft Windows Server 2019 Datacenter (1809 Build 17763.6659) 64-Bit,,False,False,False,False,True
VJCFWTS2P,Other Networked Device,20.3.121.2,Microsoft Windows Server 2019 Datacenter (1809 Build 17763.6659) 64-Bit,,False,False,False,False,True
GPLDFWCSATW1P,Other Networked Device,20.3.114.179,Microsoft Windows Server 2016 Datacenter (1607 Build 14393.7515) 64-Bit,,False,False,False,False,True
20,Other Networked Device,20.3.100.231,EulerOS / Ubuntu / Fedora / Tiny Core Linux / Linux 3.x / IBM / FortiSOAR / F5 Networks Big-IP,,False,False,False,False,True
TEMPLATERHEL9PLN,Other Networked Device,20.3.114.161,Linux 2.6,,False,False,False,False,True
TSTIANIDSTARE,Other Networked Device,20.3.118.64,F5 BIG-IP,,False,False,False,False,True
RHEL09-BASE,Other Networked Device,20.3.114.22,Red Hat Enterprise Linux 9,,False,False,False,False,True
GPCSRH8ODI4P,Other Networked Device,20.3.114.139,Red Hat Enterprise Linux 8.9,,False,False,False,False,True
VPCSRH9ODI3P,Other Networked Device,20.3.114.138,Red Hat Enterprise Linux 8.10,,False,False,False,False,True
RHEL08-BASE,Other Networked Device,20.3.114.21,Red Hat Enterprise Linux 8.13,,False,False,False,False,True
